t,x,y,altitude
0.0,-12467094.680435065,4955891.4952165475,4575.0
2.0999999046325684,-12467096.6841859,4955892.0818128865,4575.0
3.0999999046325684,-12467096.6841859,4955892.0818128865,4575.0
5.200000047683716,-12467096.6841859,4955892.0818128865,4575.0
7.200000047683716,-12467096.6841859,4955892.0818128865,4575.0
9.299999952316284,-12467096.6841859,4955892.0818128865,4575.0
11.299999952316284,-12467096.6841859,4955892.0818128865,4575.0
13.399999856948853,-12467094.680435065,4955891.4952165475,4575.0
15.5,-12467094.680435065,4955891.4952165475,4575.0
17.59999990463257,-12467094.680435065,4955891.4952165475,4575.0
19.59999990463257,-12467094.680435065,4955891.4952165475,4575.0
21.700000047683716,-12467094.680435065,4955891.4952165475,4575.0
23.799999952316284,-12467094.680435065,4955891.4952165475,4575.0
25.899999856948853,-12467094.680435065,4955891.4952165475,4575.0
27.899999856948853,-12467094.680435065,4955891.4952165475,4575.0
30.0,-12467094.680435065,4955891.4952165475,4575.0
32.09999990463257,-12467094.680435065,4955891.4952165475,4575.0
34.200000047683716,-12467094.680435065,4955891.4952165475,4575.0
36.200000047683716,-12467094.680435065,4955911.879459928,4575.0
38.299999952316284,-12467094.680435065,4955911.879459928,4575.0
40.39999985694885,-12467094.680435065,4955911.879459928,4575.0
42.5,-12467094.680435065,4955911.879459928,4575.0
44.5,-12467094.680435065,4955911.879459928,4575.0
46.59999990463257,-12467094.680435065,4955911.879459928,4575.0
48.700000047683716,-12467094.680435065,4955911.879459928,4575.0
50.799999952316284,-12467089.893696962,4955898.827673311,4525.0
52.799999952316284,-12467089.893696962,4955898.827673311,4525.0
54.89999985694885,-12467089.893696962,4955898.827673311,4525.0
57.0,-12467089.893696962,4955898.827673311,4525.0
59.09999990463257,-12467089.893696962,4955898.827673311,4525.0
60.09999990463257,-12467089.893696962,4955898.827673311,4525.0
62.200000047683716,-12467089.893696962,4955898.827673311,4525.0
64.29999995231628,-12467089.893696962,4955898.827673311,4525.0
66.29999995231628,-12467089.893696962,4955898.827673311,4525.0
68.39999985694885,-12467089.893696962,4955898.827673311,4525.0
70.5,-12467089.893696962,4955898.827673311,4525.0
72.59999990463257,-12467094.680435065,4955905.133590518,4550.0
74.59999990463257,-12467096.6841859,4955905.573538381,4550.0
76.70000004768372,-12467096.6841859,4955905.573538381,4550.0
78.79999995231628,-12467096.6841859,4955905.573538381,4550.0
80.89999985694885,-12467096.6841859,4955905.573538381,4550.0
82.89999985694885,-12467096.6841859,4955905.573538381,4550.0
85.0,-12467096.6841859,4955905.573538381,4550.0
87.09999990463257,-12467096.6841859,4955905.573538381,4550.0
89.09999990463257,-12467096.6841859,4955905.573538381,4550.0
91.20000004768372,-12467094.680435065,4955905.133590518,4500.0
93.29999995231628,-12467094.680435065,4955905.133590518,4500.0
95.29999995231628,-12467094.680435065,4955905.133590518,4525.0
97.29999995231628,-12467094.680435065,4955905.133590518,4525.0
99.39999985694885,-12467087.778626636,4955905.133590518,4525.0
101.5,-12467087.778626636,4955905.133590518,4525.0
103.59999990463257,-12467087.778626636,4955905.133590518,4525.0
105.59999990463257,-12467087.778626636,4955905.133590518,4525.0
107.70000004768372,-12467094.680435065,4955905.133590518,4550.0
109.79999995231628,-12467094.680435065,4955905.133590518,4550.0
111.89999985694885,-12467094.680435065,4955898.241076568,4575.0
114.0,-12467094.680435065,4955898.241076568,4575.0
116.0,-12467094.680435065,4955898.241076568,4575.0
118.09999990463257,-12467094.680435065,4955898.241076568,4575.0
120.20000004768372,-12467094.680435065,4955898.241076568,4575.0
122.29999995231628,-12467094.680435065,4955905.133590518,4575.0
124.29999995231628,-12467089.893696962,4955905.573538381,4575.0
126.39999985694885,-12467089.893696962,4955905.573538381,4575.0
128.5,-12467089.893696962,4955905.573538381,4550.0
130.5,-12467089.893696962,4955905.573538381,4550.0
132.59999990463257,-12467089.893696962,4955905.573538381,4550.0
134.70000004768372,-12467094.680435065,4955905.133590518,4550.0
136.79999995231628,-12467089.893696962,4955905.573538381,4550.0
138.89999985694885,-12467096.6841859,4955905.573538381,4550.0
140.89999985694885,-12467094.680435065,4955905.133590518,4550.0
143.0,-12467094.680435065,4955905.133590518,4550.0
145.09999990463257,-12467094.680435065,4955905.133590518,4550.0
146.09999990463257,-12467094.680435065,4955905.133590518,4550.0
148.20000004768372,-12467094.680435065,4955905.133590518,4550.0
150.29999995231628,-12467094.680435065,4955905.133590518,4550.0
152.29999995231628,-12467087.778626636,4955905.133590518,4550.0
154.39999985694885,-12467087.778626636,4955905.133590518,4550.0
156.5,-12467087.778626636,4955905.133590518,4550.0
158.59999990463257,-12467087.778626636,4955905.133590518,4550.0
160.70000004768372,-12467087.778626636,4955905.133590518,4550.0
162.70000004768372,-12467087.778626636,4955905.133590518,4550.0
164.79999995231628,-12467087.778626636,4955905.133590518,4550.0
166.89999985694885,-12467087.778626636,4955905.133590518,4550.0
168.89999985694885,-12467087.778626636,4955905.133590518,4550.0
171.0,-12467087.778626636,4955905.133590518,4550.0
173.09999990463257,-12467087.778626636,4955905.133590518,4550.0
175.20000004768372,-12467087.778626636,4955905.133590518,4550.0
177.29999995231628,-12467087.778626636,4955905.133590518,4550.0
179.29999995231628,-12467087.778626636,4955905.133590518,4550.0
181.39999985694885,-12467087.778626636,4955905.133590518,4550.0
183.5,-12467087.778626636,4955905.133590518,4550.0
185.5,-12467087.778626636,4955905.133590518,4550.0
187.59999990463257,-12467087.778626636,4955905.133590518,4550.0
189.70000004768372,-12467087.778626636,4955905.133590518,4550.0
